,Age,I18n,App Id,Build,Gender,Section,OS Version,Device Type,Handedness,Device Model,Games Scores,Install Mode,Participant ID,Client Time Zone,Games Play Count,Processor Count,Runtime Platform,System Memory Size,Times Finished Game,Graphics Device Name,Processor Frequency,Games Map Dialog Stage,Client Time Zone Offset,PID,Created At,Updated At
0,20,10,ACE Explorer,1.22.33,UNDEFINED,None,Windows 10,3,RIGHT,Chrome 132,"[{'score': 25280.0, 'gameName': 'BRT', 'highScore': 25280.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 32160.0, 'gameName': 'Stroop', 'highScore': 32160.0}, {'score': 33530.0, 'gameName': 'TaskSwitch2', 'highScore': 33530.0}, {'score': 5680.0, 'gameName': 'SpatialSpanReverse', 'highScore': 5680.0}]",0,WPI6_174231530i78e83,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'TaskSwitch2', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (NVIDIA, NVIDIA GeForce RTX 3070 Laptop GPU (0x0000249D) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,2,-4,WPI6_174231530i78e83,2025-03-18T16:28:59.000000Z,2025-03-18T16:43:53.000000Z
1,19,10,ACE Explorer,1.22.33,UNDEFINED,None,Windows 10,3,RIGHT,Chrome 129,"[{'score': 20940.0, 'gameName': 'BRT', 'highScore': 20940.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 19390.0, 'gameName': 'Stroop', 'highScore': 19390.0}, {'score': 14140.0, 'gameName': 'TaskSwitch2', 'highScore': 14140.0}, {'score': 6390.0, 'gameName': 'SpatialSpanReverse', 'highScore': 6390.0}]",0,WPI6_173b04029437i39,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'TaskSwitch2', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x0000A7A1) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,2,-4,WPI6_173b04029437i39,2024-10-31T19:30:15.000000Z,2024-11-01T15:47:16.000000Z
2,19,10,ACE Explorer,1.22.33,UNDEFINED,None,Windows 10,3,RIGHT,Chrome 133,"[{'score': 37550.0, 'gameName': 'BRT', 'highScore': 37550.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 31660.0, 'gameName': 'Stroop', 'highScore': 31660.0}, {'score': 57220.0, 'gameName': 'TaskSwitch2', 'highScore': 57220.0}, {'score': 5680.0, 'gameName': 'SpatialSpanReverse', 'highScore': 5680.0}]",0,WPI6_17z42g312914732,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'TaskSwitch2', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001681) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,2,-4,WPI6_17z42g312914732,2025-03-18T15:49:00.000000Z,2025-03-18T16:05:56.000000Z
3,22,10,ACE Explorer,1.22.33,UNDEFINED,None,Windows 10,3,RIGHT,Chrome 131,"[{'score': 33840.0, 'gameName': 'BRT', 'highScore': 33840.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 37750.0, 'gameName': 'Stroop', 'highScore': 37750.0}, {'score': 64390.0, 'gameName': 'TaskSwitch2', 'highScore': 64390.0}, {'score': 5680.0, 'gameName': 'SpatialSpanReverse', 'highScore': 5680.0}]",0,WPI6_173730609q4x876,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'TaskSwitch2', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,2,-5,WPI6_173730609q4x876,2025-01-19T17:02:44.000000Z,2025-01-19T17:19:15.000000Z
4,35,10,ACE Explorer,1.24.0,FEMALE,None,Mac OS X 10_15_7,3,RIGHT,Chrome 129,"[{'score': 23920.0, 'gameName': 'BRT', 'highScore': 23920.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 41810.0, 'gameName': 'Stroop', 'highScore': 41810.0}, {'score': 42280.0, 'gameName': 'TaskSwitch2', 'highScore': 42280.0}, {'score': 4260.0, 'gameName': 'SpatialSpanReverse', 'highScore': 4260.0}]",0,WPI6_alena1,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'TaskSwitch2', 'playCount': 1, 'lastPlaySession': 0}]",1,17,256,1,"ANGLE (Apple, ANGLE Metal Renderer: Apple M3 Pro, Unspecified Version)",0,2,-4,WPI6_alena1,2024-10-02T20:37:01.000000Z,2024-10-02T20:50:43.000000Z
5,19,10,ACE Explorer,1.22.33,UNDEFINED,None,Windows 10,3,RIGHT,Chrome 131,"[{'score': 46560.0, 'gameName': 'BRT', 'highScore': 46560.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 81420.0, 'gameName': 'Stroop', 'highScore': 81420.0}, {'score': 42000.0, 'gameName': 'TaskSwitch2', 'highScore': 42000.0}, {'score': 6390.0, 'gameName': 'SpatialSpanReverse', 'highScore': 6390.0}]",0,WPI6_o1d733879690572,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'TaskSwitch2', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (Intel, Intel(R) UHD Graphics (0x0000A7A8) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,2,-5,WPI6_o1d733879690572,2024-12-11T01:15:59.000000Z,2024-12-11T01:32:21.000000Z
6,19,10,ACE Explorer,1.22.33,UNDEFINED,None,Mac OS X 10_15_7,3,RIGHT,Chrome 131,"[{'score': 35440.0, 'gameName': 'BRT', 'highScore': 35440.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 26080.0, 'gameName': 'Stroop', 'highScore': 26080.0}, {'score': 46570.0, 'gameName': 'TaskSwitch2', 'highScore': 46570.0}, {'score': 4970.0, 'gameName': 'SpatialSpanReverse', 'highScore': 4970.0}]",0,WPI6_17338430c619k41,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'TaskSwitch2', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (Apple, ANGLE Metal Renderer: Apple M2, Unspecified Version)",0,2,-5,WPI6_17338430c619k41,2024-12-10T15:05:47.000000Z,2024-12-10T15:20:46.000000Z
7,20,10,ACE Explorer,1.22.33,UNDEFINED,None,Mac OS X 10_15_7,3,RIGHT,Safari 17.2,"[{'score': 23860.0, 'gameName': 'BRT', 'highScore': 23860.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 30370.0, 'gameName': 'Stroop', 'highScore': 30370.0}, {'score': 25030.0, 'gameName': 'TaskSwitch2', 'highScore': 25030.0}, {'score': 5680.0, 'gameName': 'SpatialSpanReverse', 'highScore': 5680.0}]",0,WPI6_z17l33879987190,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'TaskSwitch2', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,Apple GPU,0,2,-5,WPI6_z17l33879987190,2024-12-11T01:20:14.000000Z,2024-12-11T01:32:56.000000Z
8,35,10,ACE Explorer,1.22.33,UNDEFINED,None,Mac OS X 10_15_7,3,RIGHT,Chrome 129,"[{'score': 50160.0, 'gameName': 'BRT', 'highScore': 50160.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 38120.0, 'gameName': 'Stroop', 'highScore': 38120.0}, {'score': 52850.0, 'gameName': 'TaskSwitch2', 'highScore': 52850.0}, {'score': 0.0, 'gameName': 'SpatialSpanReverse', 'highScore': 0.0}]",0,WPI6_y17a28670978573,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'TaskSwitch2', 'playCount': 1, 'lastPlaySession': 0}]",1,17,256,1,"ANGLE (Apple, ANGLE Metal Renderer: Apple M3 Pro, Unspecified Version)",0,2,-4,WPI6_y17a28670978573,2024-10-11T18:23:36.000000Z,2024-10-11T18:35:24.000000Z
9,26,10,ACE Explorer,1.24.0,FEMALE,None,Windows 10,3,LEFT,Chrome 129,"[{'score': 33750.0, 'gameName': 'BRT', 'highScore': 33750.0}, {'score': 9940.0, 'gameName': 'WTNumber', 'highScore': 9940.0}, {'score': 41500.0, 'gameName': 'Stroop', 'highScore': 41500.0}, {'score': 8230.0, 'gameName': 'TaskSwitch2', 'highScore': 8230.0}, {'score': 0.0, 'gameName': 'SpatialSpanReverse', 'highScore': 0.0}]",0,WPI6_test,Eastern Standard Time,"[{'gameName': 'BRT', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'WTNumber', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'Stroop', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'SpatialSpanReverse', 'playCount': 1, 'lastPlaySession': 0}, {'gameName': 'TaskSwitch2', 'playCount': 1, 'lastPlaySession': 0}]",1,17,128,1,"ANGLE (Intel, Intel(R) Iris(R) Xe Graphics (0x00009A49) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,2,-4,WPI6_test,2024-10-01T18:57:08.000000Z,2024-10-01T19:09:02.000000Z
