pid,age,handedness,bid,STROOP.rcs.overall,TASKSWITCH.rcs.overall,BRT.rt_mean.correct,BRT.rt_mean.correct.dominant,BRT.rt_mean.correct.nondominant,BACKWARDSSPATIALSPAN.object_count_span.overall
wpi6172964653ia1639,18,RIGHT,wpi6172964653ia1639.session0,1.5742159990057583,1.5331703476567355,307.9,305.73333333333335,310.06666666666666,NA
wpi6172z971436g3640,18,LEFT,wpi6172z971436g3640.session0,1.6068559185859668,1.6437826339199382,315.6666666666667,301.26666666666665,330.06666666666666,NA
wpi6172964je1750738,20,RIGHT,wpi6172964je1750738.session0,2.0458265139116203,2.0498614958448753,261.89285714285717,276.2142857142857,247.57142857142858,NA
wpi617v297313h20163,18,RIGHT,wpi617v297313h20163.session0,1.567261645624728,1.8640243304228392,286.76666666666665,276.8666666666667,296.6666666666667,NA
wpi6p17b29773735995,18,RIGHT,wpi6p17b29773735995.session0,1.8424906694382766,1.290126735979358,298.8333333333333,304.4,293.26666666666665,NA
wpi61s7297926890r26,22,RIGHT,wpi61s7297926890r26.session0,1.8007820539205597,2.074688796680498,284.5,286.6,282.4,NA
wpi61f730130297q771,21,RIGHT,wpi61f730130297q771.session0,1.5789473684210527,1.580116159890673,307.8333333333333,297.8666666666667,317.8,NA
wpi6im1729883307292,18,RIGHT,wpi6im1729883307292.session0,1.3458447044749335,1.1019911840705274,261.44827586206895,265.42857142857144,257.73333333333335,NA
wpi617t29952p498059,19,RIGHT,wpi617t29952p498059.session0,1.8198835274542429,2.2114637499252883,329.53333333333336,306.93333333333334,352.1333333333333,NA
wpi61o72998d8194381,18,RIGHT,wpi61o72998d8194381.session0,1.640496836184673,2.0838595604950743,274.2857142857143,253.2,298.61538461538464,NA
wpi6172995d42826h37,20,RIGHT,wpi6172995d42826h37.session0,1.8456626926722202,2.317497103128621,273.26666666666665,271.06666666666666,275.46666666666664,NA
wpi61v729990s628152,20,RIGHT,wpi61v729990s628152.session0,1.7142103643795878,1.6311775338359122,280.46666666666664,284.26666666666665,276.6666666666667,NA
wpi617299937o1947y5,20,LEFT,wpi617299937o1947y5.session0,1.3902608568397177,1.8674136321195145,324.4,314.4,334.4,NA
wpi617302246zq87473,18,RIGHT,wpi617302246zq87473.session0,1.4388489208633093,1.554257724189902,291.6666666666667,298.93333333333334,284.4,NA
wpi6172961p31629m81,35,RIGHT,wpi6172961p31629m81.session0,NA,0.8781772942381811,536.7916666666667,476.41666666666663,597.1666666666666,NA
wpi3172607h07554f66,NA,NA,wpi3172607h07554f66.session0,NA,NA,NA,NA,NA,6
wpi317260908131rg02,NA,NA,wpi317260908131rg02.session0,NA,NA,NA,NA,NA,6
wpi317260916jq52858,NA,NA,wpi317260916jq52858.session0,NA,NA,NA,NA,NA,7
wpi31726101m69o4147,NA,NA,wpi31726101m69o4147.session0,NA,NA,NA,NA,NA,7
wpi31726164a2x17277,NA,NA,wpi31726164a2x17277.session0,NA,NA,NA,NA,NA,7
wpi31726232712u94e4,NA,NA,wpi31726232712u94e4.session0,NA,NA,NA,NA,NA,6
wpi3172626625ps4717,NA,NA,wpi3172626625ps4717.session0,NA,NA,NA,NA,NA,6
wpi3172649rv8916449,NA,NA,wpi3172649rv8916449.session0,NA,NA,NA,NA,NA,7
wpi317267805g915b58,NA,NA,wpi317267805g915b58.session0,NA,NA,NA,NA,NA,7
wpi317267968y60z431,NA,NA,wpi317267968y60z431.session0,NA,NA,NA,NA,NA,7
wpi317268466260j2r8,NA,NA,wpi317268466260j2r8.session0,NA,NA,NA,NA,NA,NA
wpi3172694xk1971360,NA,NA,wpi3172694xk1971360.session0,NA,NA,NA,NA,NA,7
wpi31726e22d9385259,NA,NA,wpi31726e22d9385259.session0,NA,NA,NA,NA,NA,8
wpi31726lg255892316,NA,NA,wpi31726lg255892316.session0,NA,NA,NA,NA,NA,7
wpi31727054008s5o20,NA,NA,wpi31727054008s5o20.session0,NA,NA,NA,NA,NA,6
wpi31727411001m2j16,NA,NA,wpi31727411001m2j16.session0,NA,NA,NA,NA,NA,7
wpi3172771m38y19382,NA,NA,wpi3172771m38y19382.session0,NA,NA,NA,NA,NA,6
wpi31727886g187w667,NA,NA,wpi31727886g187w667.session0,NA,NA,NA,NA,NA,5
wpi31727d8083o32028,NA,NA,wpi31727d8083o32028.session0,NA,NA,NA,NA,NA,7
wpi3172804d3288r960,NA,NA,wpi3172804d3288r960.session0,NA,NA,NA,NA,NA,7
wpi31728350vw892173,NA,NA,wpi31728350vw892173.session0,NA,NA,NA,NA,NA,6
wpi31728354q41e2264,NA,NA,wpi31728354q41e2264.session0,NA,NA,NA,NA,NA,7
wpi3172838877y18g70,NA,NA,wpi3172838877y18g70.session0,NA,NA,NA,NA,NA,9
wpi3172852o33n06907,NA,NA,wpi3172852o33n06907.session0,NA,NA,NA,NA,NA,7
wpi31728q4153194o63,NA,NA,wpi31728q4153194o63.session0,NA,NA,NA,NA,NA,9
wpi3172l599450p4737,NA,NA,wpi3172l599450p4737.session0,NA,NA,NA,NA,NA,NA
wpi3172v60918i15228,NA,NA,wpi3172v60918i15228.session0,NA,NA,NA,NA,NA,7
wpi3172z609y1394122,NA,NA,wpi3172z609y1394122.session0,NA,NA,NA,NA,NA,6
wpi317a26598735x061,NA,NA,wpi317a26598735x061.session0,NA,NA,NA,NA,NA,9
wpi317b2769p3554604,NA,NA,wpi317b2769p3554604.session0,NA,NA,NA,NA,NA,6
wpi317c28236117y670,NA,NA,wpi317c28236117y670.session0,NA,NA,NA,NA,NA,7
wpi317d26k247126090,NA,NA,wpi317d26k247126090.session0,NA,NA,NA,NA,NA,8
wpi317fz27817412137,NA,NA,wpi317fz27817412137.session0,NA,NA,NA,NA,NA,7
wpi317g2632f5360053,NA,NA,wpi317g2632f5360053.session0,NA,NA,NA,NA,NA,8
wpi317o2t7806106208,NA,NA,wpi317o2t7806106208.session0,NA,NA,NA,NA,NA,5
wpi317p2780p3812651,NA,NA,wpi317p2780p3812651.session0,NA,NA,NA,NA,NA,7
wpi317r260913860u89,NA,NA,wpi317r260913860u89.session0,NA,NA,NA,NA,NA,7
wpi317r27i913234962,NA,NA,wpi317r27i913234962.session0,NA,NA,NA,NA,NA,6
wpi317v2838p9801781,NA,NA,wpi317v2838p9801781.session0,NA,NA,NA,NA,NA,7
wpi317y28349310y123,NA,NA,wpi317y28349310y123.session0,NA,NA,NA,NA,NA,7
wpi31a72849t2867197,NA,NA,wpi31a72849t2867197.session0,NA,NA,NA,NA,NA,8
wpi31f72615w9243785,NA,NA,wpi31f72615w9243785.session0,NA,NA,NA,NA,NA,7
wpi31mr727904493436,NA,NA,wpi31mr727904493436.session0,NA,NA,NA,NA,NA,6
wpi31n726160893s822,NA,NA,wpi31n726160893s822.session0,NA,NA,NA,NA,NA,NA
wpi3ag1728443677168,NA,NA,wpi3ag1728443677168.session0,NA,NA,NA,NA,NA,7
wpi3g17a26157102114,NA,NA,wpi3g17a26157102114.session0,NA,NA,NA,NA,NA,6
wpi3g17t27787793368,NA,NA,wpi3g17t27787793368.session0,NA,NA,NA,NA,NA,7
wpi3j172v6090848366,NA,NA,wpi3j172v6090848366.session0,NA,NA,NA,NA,NA,7
wpi3l172r6318006716,NA,NA,wpi3l172r6318006716.session0,NA,NA,NA,NA,NA,7
wpi3l1z728059670253,NA,NA,wpi3l1z728059670253.session0,NA,NA,NA,NA,NA,6
